"Node","DegreeCentrality"
36,0.14166666666666666
53,0.06666666666666667
226,0.06666666666666667
232,0.125
55,0.125
66,0.05
177,0.041666666666666664
190,0.10833333333333334
147,0.08333333333333333
149,0.058333333333333334
5,0.08333333333333333
65,0.075
178,0.03333333333333333
173,0.09166666666666666
29,0.21666666666666667
32,0.041666666666666664
82,0.05
56,0.10833333333333334
106,0.1
4,0.06666666666666667
192,0.05
193,0.075
221,0.06666666666666667
238,0.041666666666666664
141,0.18333333333333332
129,0.03333333333333333
181,0.075
183,0.075
74,0.016666666666666666
57,0.075
93,0.125
70,0.03333333333333333
233,0.1
230,0.08333333333333333
225,0.09166666666666666
23,0.09166666666666666
91,0.041666666666666664
97,0.075
40,0.06666666666666667
43,0.08333333333333333
69,0.075
107,0.03333333333333333
3,0.125
33,0.06666666666666667
122,0.23333333333333334
133,0.058333333333333334
185,0.075
171,0.058333333333333334
245,0.05
222,0.06666666666666667
79,0.058333333333333334
10,0.075
155,0.05
167,0.03333333333333333
89,0.058333333333333334
54,0.10833333333333334
49,0.058333333333333334
18,0.05
1,0.058333333333333334
90,0.10833333333333334
214,0.08333333333333333
234,0.09166666666666666
144,0.075
101,0.09166666666666666
46,0.15
60,0.06666666666666667
111,0.075
78,0.06666666666666667
94,0.14166666666666666
7,0.06666666666666667
120,0.06666666666666667
145,0.15
163,0.075
125,0.075
6,0.05
218,0.075
48,0.075
58,0.075
148,0.06666666666666667
211,0.03333333333333333
41,0.1
19,0.041666666666666664
240,0.06666666666666667
228,0.016666666666666666
151,0.041666666666666664
150,0.08333333333333333
140,0.075
159,0.05
124,0.025
25,0.041666666666666664
47,0.06666666666666667
37,0.075
22,0.09166666666666666
86,0.041666666666666664
236,0.041666666666666664
84,0.041666666666666664
102,0.09166666666666666
166,0.025
153,0.08333333333333333
128,0.058333333333333334
38,0.03333333333333333
51,0.09166666666666666
237,0.1
213,0.041666666666666664
26,0.05
11,0.11666666666666667
59,0.03333333333333333
45,0.08333333333333333
180,0.09166666666666666
98,0.13333333333333333
17,0.041666666666666664
207,0.075
100,0.13333333333333333
64,0.041666666666666664
136,0.05
191,0.125
182,0.075
83,0.09166666666666666
52,0.08333333333333333
121,0.03333333333333333
123,0.075
223,0.03333333333333333
224,0.05
243,0.06666666666666667
246,0.016666666666666666
27,0.08333333333333333
115,0.016666666666666666
242,0.1
62,0.058333333333333334
216,0.11666666666666667
16,0.03333333333333333
217,0.11666666666666667
212,0.05
87,0.10833333333333334
206,0.041666666666666664
202,0.016666666666666666
109,0.058333333333333334
176,0.08333333333333333
198,0.058333333333333334
96,0.075
50,0.058333333333333334
210,0.05
172,0.05
99,0.06666666666666667
168,0.058333333333333334
239,0.06666666666666667
92,0.075
175,0.075
152,0.1
61,0.075
67,0.06666666666666667
44,0.075
220,0.03333333333333333
105,0.03333333333333333
110,0.05
21,0.058333333333333334
103,0.075
215,0.06666666666666667
241,0.008333333333333333
20,0.08333333333333333
28,0.09166666666666666
8,0.06666666666666667
72,0.03333333333333333
229,0.08333333333333333
63,0.025
81,0.06666666666666667
126,0.05
132,0.05
85,0.03333333333333333
31,0.11666666666666667
35,0.075
209,0.06666666666666667
174,0.058333333333333334
235,0.05
219,0.05
179,0.041666666666666664
188,0.08333333333333333
68,0.041666666666666664
71,0.041666666666666664
135,0.06666666666666667
127,0.058333333333333334
146,0.058333333333333334
9,0.06666666666666667
13,0.03333333333333333
162,0.025
231,0.11666666666666667
108,0.058333333333333334
169,0.041666666666666664
80,0.05
130,0.06666666666666667
76,0.041666666666666664
184,0.041666666666666664
42,0.075
119,0.041666666666666664
142,0.05
77,0.03333333333333333
95,0.08333333333333333
131,0.058333333333333334
134,0.041666666666666664
143,0.06666666666666667
118,0.05
12,0.058333333333333334
186,0.058333333333333334
197,0.025
114,0.03333333333333333
208,0.05
187,0.06666666666666667
34,0.06666666666666667
2,0.041666666666666664
157,0.041666666666666664
137,0.05
170,0.03333333333333333
196,0.016666666666666666
39,0.025
75,0.025
156,0.025
200,0.041666666666666664
160,0.05
14,0.041666666666666664
138,0.03333333333333333
204,0.041666666666666664
139,0.058333333333333334
15,0.03333333333333333
189,0.041666666666666664
112,0.016666666666666666
30,0.05
104,0.06666666666666667
164,0.058333333333333334
117,0.025
24,0.03333333333333333
194,0.08333333333333333
227,0.03333333333333333
161,0.016666666666666666
199,0.041666666666666664
116,0.016666666666666666
158,0.025
73,0.025
113,0.016666666666666666
88,0.016666666666666666
205,0.016666666666666666
244,0.016666666666666666
